epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6245999932289124,0.0010000000474974513,1.2397685050964355,0.7163515090942383,1.0019797086715698
1,0.704200029373169,0.0010000000474974513,1.042362093925476,0.6941045522689819,1.0320748090744019
2,0.728600025177002,0.0010000000474974513,1.0090051889419556,0.7441601753234863,0.9543702006340027
3,0.734000027179718,0.0010000000474974513,0.9861332774162292,0.7519466280937195,0.9407881498336792
4,0.7509999871253967,0.0010000000474974513,0.9630149602890015,0.7452725172042847,0.9588684439659119
5,0.7667999863624573,0.0010000000474974513,0.9358916282653809,0.7474972009658813,0.9405399560928345
6,0.7634000182151794,0.0010000000474974513,0.9352996945381165,0.7764182686805725,0.910423219203949
7,0.7706000208854675,0.0010000000474974513,0.921730101108551,0.7630701065063477,0.9037315249443054
8,0.7815999984741211,0.0010000000474974513,0.9088760018348694,0.7664071321487427,0.9089112877845764
9,0.777400016784668,0.0010000000474974513,0.9131283164024353,0.7819799780845642,0.8941044807434082
10,0.7868000268936157,0.0010000000474974513,0.894583523273468,0.788654088973999,0.9017908573150635
11,0.7892000079154968,0.0010000000474974513,0.8978661894798279,0.7897664308547974,0.900749683380127
12,0.7075999975204468,9.999999747378752e-06,1.0451037883758545,0.774193525314331,0.9324221611022949
13,0.7770000100135803,9.999999747378752e-06,0.9282410144805908,0.7864293456077576,0.9056853652000427
14,0.7936000227928162,9.999999747378752e-06,0.9035953283309937,0.7875416874885559,0.8931418061256409
15,0.805400013923645,9.999999747378752e-06,0.8740124702453613,0.7931034564971924,0.8785616755485535
16,0.8172000050544739,9.999999747378752e-06,0.8488935828208923,0.7953281402587891,0.8674980401992798
17,0.8234000205993652,9.999999747378752e-06,0.8424338698387146,0.7975528240203857,0.8638013601303101
18,0.8357999920845032,9.999999747378752e-06,0.8203878998756409,0.7986651659011841,0.859412670135498
19,0.8511999845504761,9.999999747378752e-06,0.8020351529121399,0.7997775077819824,0.8541898131370544
20,0.8561999797821045,9.999999747378752e-06,0.7909325361251831,0.8109009861946106,0.8435164093971252
21,0.8543999791145325,9.999999747378752e-06,0.7907665371894836,0.8131256699562073,0.8419275879859924
22,0.8633999824523926,9.999999747378752e-06,0.7766622304916382,0.8120133280754089,0.8377418518066406
23,0.8679999709129333,9.999999747378752e-06,0.7653357982635498,0.8142380714416504,0.8346769213676453
24,0.8804000020027161,9.999999747378752e-06,0.7520370483398438,0.8142380714416504,0.8344857096672058
25,0.8812000155448914,9.999999747378752e-06,0.7418619394302368,0.8142380714416504,0.8299091458320618
26,0.8823999762535095,9.999999747378752e-06,0.7388097047805786,0.8153504133224487,0.8266693949699402
27,0.8930000066757202,9.999999747378752e-06,0.7330199480056763,0.8164627552032471,0.8289257884025574
28,0.8974000215530396,9.999999747378752e-06,0.7197328805923462,0.8209121227264404,0.8210294246673584
29,0.8948000073432922,9.999999747378752e-06,0.7145271897315979,0.8231368064880371,0.8263470530509949
30,0.90420001745224,9.999999747378752e-06,0.7093368172645569,0.8209121227264404,0.8189249038696289
31,0.9136000275611877,9.999999747378752e-06,0.69082111120224,0.8209121227264404,0.8293858170509338
32,0.9215999841690063,9.999999747378752e-06,0.6756750345230103,0.8286985754966736,0.8157612085342407
33,0.9182000160217285,9.999999747378752e-06,0.6759227514266968,0.8353726267814636,0.8253270983695984
34,0.9240000247955322,9.999999747378752e-06,0.6689216494560242,0.8231368064880371,0.8240548968315125
35,0.9309999942779541,9.999999747378752e-06,0.660003662109375,0.8309232592582703,0.8294472694396973
36,0.9358000159263611,4.999999873689376e-06,0.6495910882949829,0.8375973105430603,0.8209754824638367
37,0.9387999773025513,4.999999873689376e-06,0.6484411358833313,0.8387096524238586,0.8287968635559082
38,0.9409999847412109,4.999999873689376e-06,0.64243483543396,0.8275862336158752,0.8278142809867859
39,0.9377999901771545,2.499999936844688e-06,0.647001326084137,0.8375973105430603,0.8257010579109192
